seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr3	23847413	23847422	10	*	X03	7324	23847384	23933131	85748	+	0	inside	28	UBE2E1
chr3	120068262	120068270	9	*	X04	116064	120043576	120068186	24611	-	75	upstream	75	LRRC58
chr4	151936891	151936904	14	*	X05	987	151185811	151936649	750839	-	241	upstream	241	LRBA
chr7	24612973	24612981	9	*	X08	51678	24613085	24727498	114414	+	103	upstream	103	MPP6
chr9	6413312	6413320	9	*	X12	115426	6413151	6507051	93901	+	0	inside	160	UHRF2
chr9	77567811	77567816	6	*	X14	55071	77561499	77567802	6304	-	8	upstream	8	C9orf40
chr10	103880089	103880103	15	*	X16	8861	103867325	103880210	12886	-	0	inside	106	LDB1
chr10	103880130	103880163	34	*	X17	8861	103867325	103880210	12886	-	0	inside	46	LDB1
chr11	63684626	63684634	9	*	X18	283248	63678693	63684316	5624	-	309	upstream	309	RCOR2
chr11	66624317	66624325	9	*	X19	78999	66624876	66627946	3071	+	550	upstream	550	LRFN4
chr11	66624508	66624517	10	*	X20	78999	66624876	66627946	3071	+	358	upstream	358	LRFN4
chr11	66624524	66624532	9	*	X21	78999	66624876	66627946	3071	+	343	upstream	343	LRFN4
chr12	12420083	12420087	5	*	X22	4040	12268961	12419811	150851	-	271	upstream	271	LRP6
chr12	19592480	19592489	10	*	X23	121536	19592608	19675173	82566	+	118	upstream	118	AEBP2
chr12	46122688	46122690	3	*	X24	196528	46123620	46301819	178200	+	929	upstream	929	ARID2
chr12	46122688	46122690	3	*	X24	400027	46119503	46121704	2202	-	983	upstream	983	LINC00938
chr15	52311579	52311589	11	*	X26	5597	52311411	52358462	47052	+	0	inside	167	MAPK6
chr15	99191725	99191736	12	*	X27	3480	99192761	99507759	314999	+	1024	upstream	1024	IGF1R
chr15	99191745	99191760	16	*	X28	3480	99192761	99507759	314999	+	1000	upstream	1000	IGF1R
chr16	70285677	70285685	9	*	X29	118460	70284134	70285833	1700	-	0	inside	147	EXOSC6
chr21	38739415	38739423	9	*	X32	1859	38739859	38887679	147821	+	435	upstream	435	DYRK1A
chr22	39268259	39268268	10	*	X34	23466	39260248	39268258	8011	-	0	upstream	0	CBX6
chrX	24167948	24167957	10	*	X35	100873922	24164342	24167771	3430	-	176	upstream	176	ZFX-AS1
chrX	24167948	24167957	10	*	X35	7543	24167762	24234372	66611	+	0	inside	185	ZFX
