seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr8	67341415	67341790	376	*	X001	100505676	67331822	67341212	9391	-	202	upstream	202	RRS1-AS1
chr8	67341415	67341790	376	*	X001	23212	67341263	67342968	1706	+	0	inside	151	RRS1
chr2	129076098	129076416	319	*	X002	9394	129023054	129076171	53118	-	0	overlapStart	0	HS6ST1
chr2	228336983	228337308	326	*	X004	3267	228336888	228425938	89051	+	0	inside	94	AGFG1
chr2	234263190	234263665	476	*	X005	8527	234263153	234380743	117591	+	0	inside	36	DGKD
chr18	60190393	60190915	523	*	X007	54877	60190658	60253962	63305	+	0	overlapStart	0	ZCCHC2
chr18	60987167	60987369	203	*	X008	596	60790579	60986657	196079	-	509	upstream	509	BCL2
chr18	60987540	60987729	190	*	X009	596	60790579	60986657	196079	-	882	upstream	882	BCL2
chr1	176175964	176176123	160	*	X010	64326	175913967	176176370	262404	-	0	inside	246	COP1
chr1	211432698	211433046	349	*	X012	55758	211432708	211489725	57018	+	0	overlapStart	0	RCOR3
chr1	211432363	211432622	260	*	X013	55758	211432708	211489725	57018	+	85	upstream	85	RCOR3
chr6	147524843	147525506	664	*	X014	134957	147525494	147711612	186119	+	0	overlapStart	0	STXBP5
chr6	147524843	147525506	664	*	X014	729178	147162525	147525750	363226	-	0	inside	243	STXBP5-AS1
chr6	146135441	146135840	400	*	X015	84085	146119272	146135921	16650	-	0	inside	80	FBXO30
chr6	139308599	139309624	1026	*	X017	85021	139225620	139309398	83779	-	0	overlapStart	0	REPS1
chr6	137113257	137113887	631	*	X018	4217	136878187	137113656	235470	-	0	overlapStart	0	MAP3K5
chr6	135502324	135502475	152	*	X019	4602	135502453	135540311	37859	+	0	overlapStart	0	MYB
chr6	135502069	135502251	183	*	X020	4602	135502453	135540311	37859	+	201	upstream	201	MYB
chr6	107435636	107436854	1219	*	X021	57673	107386385	107435636	49252	-	0	overlapStart	0	BEND3
chr10	71389996	71390429	434	*	X022	219738	71390003	71393355	3353	+	0	overlapStart	0	FAM241B
chr10	69644497	69644916	420	*	X023	23411	69644427	69678147	33721	+	0	inside	69	SIRT1
chr10	64564440	64564809	370	*	X024	84890	64564516	64568239	3724	+	0	overlapStart	0	ADO
chr10	60027183	60027597	415	*	X025	253430	59951278	60027694	76417	-	0	inside	96	IPMK
chr10	60027183	60027597	415	*	X025	55847	60028862	60049019	20158	+	1264	upstream	1264	CISD1
chr19	531705	532067	363	*	X026	997	531733	542087	10355	+	0	overlapStart	0	CDC34
chr19	590148	590378	231	*	X027	610	589893	617159	27267	+	0	inside	254	HCN2
