seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1243964	1243974	11	*	X0001	126789	1243994	1247057	3064	+	19	upstream	19	PUSL1
chr1	1244051	1244062	12	*	X0002	126789	1243994	1247057	3064	+	0	inside	56	PUSL1
chr1	1342633	1342642	10	*	X0003	55052	1337276	1342693	5418	-	0	inside	50	MRPL20
chr1	1370845	1370861	17	*	X0004	64856	1370903	1378262	7360	+	41	upstream	41	VWA1
chr1	1370864	1370875	12	*	X0005	64856	1370903	1378262	7360	+	27	upstream	27	VWA1
chr1	1370949	1370957	9	*	X0006	64856	1370903	1378262	7360	+	0	inside	45	VWA1
chr1	1407097	1407106	10	*	X0007	83858	1407164	1444689	37526	+	57	upstream	57	ATAD3B
chr1	1822606	1822616	11	*	X0008	2782	1716725	1822526	105802	-	79	upstream	79	GNB1
chr1	8021752	8021764	13	*	X0012	11315	8021714	8045342	23629	+	0	inside	37	PARK7
chr1	8938332	8938340	9	*	X0014	100505975	8938894	8939943	1050	+	553	upstream	553	ENO1-AS1
chr1	8938432	8938440	9	*	X0015	100505975	8938894	8939943	1050	+	453	upstream	453	ENO1-AS1
chr1	9294983	9294991	9	*	X0016	9563	9294863	9331394	36532	+	0	inside	119	H6PD
chr1	10003456	10003464	9	*	X0017	64802	10003486	10045556	42071	+	21	upstream	21	NMNAT1
chr1	10003456	10003464	9	*	X0017	84328	9989776	10003427	13652	-	28	upstream	28	LZIC
chr1	11159943	11159953	11	*	X0018	5394	11126676	11159938	33263	-	4	upstream	4	EXOSC10
chr1	15736291	15736300	10	*	X0019	79180	15736391	15756839	20449	+	90	upstream	90	EFHD2
chr1	16174141	16174151	11	*	X0020	23013	16174359	16266950	92592	+	207	upstream	207	SPEN
chr1	16679007	16679017	11	*	X0021	54455	16576559	16678948	102390	-	58	upstream	58	FBXO42
chr1	16971219	16971228	10	*	X0023	11209	16972069	16976915	4847	+	840	upstream	840	MST1P2
chr1	16971219	16971228	10	*	X0023	84809	16944751	16971178	26428	-	40	upstream	40	CROCCP2
chr1	16971250	16971261	12	*	X0024	11209	16972069	16976915	4847	+	807	upstream	807	MST1P2
chr1	16971250	16971261	12	*	X0024	84809	16944751	16971178	26428	-	71	upstream	71	CROCCP2
chr1	23345963	23345971	9	*	X0026	23028	23345941	23410184	64244	+	0	inside	21	KDM1A
chr1	24969635	24969647	13	*	X0027	10250	24969594	24999772	30179	+	0	inside	40	SRRM1
chr1	26496418	26496427	10	*	X0029	51042	26496388	26497364	977	+	0	inside	29	ZNF593
chr1	27561185	27561194	10	*	X0030	23038	27561007	27635124	74118	+	0	inside	177	WDTC1
chr1	28908528	28908536	9	*	X0031	677825	28906893	28907024	132	-	1503	upstream	1503	SNORA44
chr1	28908528	28908536	9	*	X0031	692073	28907432	28907565	134	-	962	upstream	962	SNORA16A
chr1	28908528	28908536	9	*	X0031	85028	28905050	28908383	3334	-	144	upstream	144	SNHG12
chr1	29063409	29063417	9	*	X0032	51441	29063133	29096287	33155	+	0	inside	275	YTHDF2
chr1	32479437	32479448	12	*	X0037	10657	32479295	32526460	47166	+	0	inside	141	KHDRBS1
chr1	32645549	32645557	9	*	X0038	200081	32645345	32663886	18542	+	0	inside	203	TXLNA
chr1	33116825	33116833	9	*	X0039	339487	33065773	33116185	50413	-	639	upstream	639	ZBTB8OS
chr1	33116825	33116833	9	*	X0039	5928	33116749	33151812	35064	+	0	inside	75	RBBP4
chr1	33502495	33502505	11	*	X0040	204	33473541	33502512	28972	-	0	inside	6	AK2
chr1	33896555	33896565	11	*	X0042	1912	33789224	33896615	107392	-	0	inside	49	PHC2
chr1	37980429	37980437	9	*	X0043	64769	37955561	37980420	24860	-	8	upstream	8	MEAF6
chr1	38478110	38478119	10	*	X0044	51118	38478384	38490497	12114	+	264	upstream	264	UTP11
chr1	40367548	40367559	12	*	X0045	4610	40361096	40367687	6592	-	0	inside	127	MYCL
chr1	40367607	40367616	10	*	X0046	4610	40361096	40367687	6592	-	0	inside	70	MYCL
chr1	43424799	43424800	2	*	X0051	440584	43424720	43449029	24310	+	0	inside	78	SLC2A1-AS1
chr1	43424799	43424800	2	*	X0051	6513	43391046	43424847	33802	-	0	inside	46	SLC2A1
chr1	44870863	44870898	36	*	X0052	55182	44870960	45117396	246437	+	61	upstream	61	RNF220
chr1	45452441	45452446	6	*	X0053	8891	45316194	45452394	136201	-	46	upstream	46	EIF2B3
chr1	46668903	46668911	9	*	X0055	541468	46669006	46686928	17923	+	94	upstream	94	LURAP1
chr1	53392939	53392943	5	*	X0060	55268	53361582	53392851	31270	-	87	upstream	87	ECHDC2
chr1	53392939	53392943	5	*	X0060	6342	53392901	53517289	124389	+	0	inside	37	SCP2
chr1	59250745	59250755	11	*	X0063	100131060	59250823	59365384	114562	+	67	upstream	67	LINC01135
chr1	59250745	59250755	11	*	X0063	3725	59246463	59249785	3323	-	959	upstream	959	JUN
chr1	59250779	59250803	25	*	X0064	100131060	59250823	59365384	114562	+	19	upstream	19	LINC01135
chr1	59250779	59250803	25	*	X0064	3725	59246463	59249785	3323	-	993	upstream	993	JUN
chr1	59762645	59762653	9	*	X0065	55277	59762625	60228402	465778	+	0	inside	19	FGGY
chr1	63249841	63249851	11	*	X0068	84938	63249777	63330941	81165	+	0	inside	63	ATG4C
chr1	84543644	84543652	9	*	X0071	5567	84543745	84704181	160437	+	92	upstream	92	PRKACB
chr1	86046172	86046179	8	*	X0072	3491	86046444	86049648	3205	+	264	upstream	264	CCN1
chr1	86046268	86046282	15	*	X0073	3491	86046444	86049648	3205	+	161	upstream	161	CCN1
chr1	92764312	92764321	10	*	X0074	11146	92711955	92764566	52612	-	0	inside	244	GLMN
chr1	92764312	92764321	10	*	X0074	79871	92764522	92853732	89211	+	200	upstream	200	RPAP2
chr1	93544951	93544959	9	*	X0075	22823	93544792	93604638	59847	+	0	inside	158	MTF2
chr1	100315685	100315694	10	*	X0076	178	100315640	100389579	73940	+	0	inside	44	AGL
chr1	109642923	109642931	9	*	X0077	677766	109642815	109643234	420	+	0	inside	107	SCARNA2
chr1	109642951	109642959	9	*	X0078	677766	109642815	109643234	420	+	0	inside	135	SCARNA2
chr1	109969071	109969079	9	*	X0080	5686	109941653	109969108	27456	-	0	inside	28	PSMA5
chr1	110052353	110052362	10	*	X0081	57463	110049446	110052336	2891	-	16	upstream	16	AMIGO1
chr1	110052389	110052400	12	*	X0082	57463	110049446	110052336	2891	-	52	upstream	52	AMIGO1
chr1	110052413	110052427	15	*	X0083	57463	110049446	110052336	2891	-	76	upstream	76	AMIGO1
chr1	113498685	113498694	10	*	X0086	6566	113454470	113498975	44506	-	0	inside	280	SLC16A1
chr1	115053892	115053902	11	*	X0087	51592	114935399	115053781	118383	-	110	upstream	110	TRIM33
chr1	115300646	115300651	6	*	X0088	7812	115259534	115300671	41138	-	0	inside	19	CSDE1
chr1	117909428	117909440	13	*	X0089	10905	117910085	118068320	158236	+	644	upstream	644	MAN1A2
chr1	150208363	150208398	36	*	X0090	81611	150190717	150208504	17788	-	0	inside	105	ANP32E
chr1	150208401	150208410	10	*	X0091	81611	150190717	150208504	17788	-	0	inside	93	ANP32E
chr1	150208413	150208423	11	*	X0092	81611	150190717	150208504	17788	-	0	inside	80	ANP32E
chr1	151512817	151512825	9	*	X0093	7286	151512781	151556059	43279	+	0	inside	35	TUFT1
chr1	152009447	152009455	9	*	X0094	6282	152004982	152009511	4530	-	0	inside	55	S100A11
chr1	155532380	155532388	9	*	X0095	55870	155305052	155532585	227534	-	0	inside	196	ASH1L
chr1	155532721	155532724	4	*	X0096	55870	155305052	155532585	227534	-	135	upstream	135	ASH1L
chr1	155658573	155658582	10	*	X0097	7818	155658882	155708800	49919	+	299	upstream	299	DAP3
chr1	165600083	165600092	10	*	X0101	4259	165600110	165625372	25263	+	17	upstream	17	MGST3
chr1	166808743	166808751	9	*	X0102	57645	166808724	166823709	14986	+	0	inside	18	POGK
chr1	167522946	167522955	10	*	X0103	8804	167510251	167523056	12806	-	0	inside	100	CREG1
chr1	173446197	173446205	9	*	X0104	100506023	173204199	173446294	242096	-	0	inside	88	LOC100506023
chr1	173446197	173446205	9	*	X0104	9588	173446486	173457946	11461	+	280	upstream	280	PRDX6
chr1	174128470	174128488	19	*	X0105	9910	174128552	174964445	835894	+	63	upstream	63	RABGAP1L
chr1	174128529	174128537	9	*	X0106	9910	174128552	174964445	835894	+	14	upstream	14	RABGAP1L
chr1	176176405	176176419	15	*	X0107	64326	175913967	176176370	262404	-	34	upstream	34	COP1
chr1	178062841	178062850	10	*	X0108	100302401	178060643	178063128	2486	-	0	inside	277	RASAL2-AS1
chr1	178062841	178062850	10	*	X0108	9462	178062864	178448648	385785	+	13	upstream	13	RASAL2
chr1	180471773	180471781	9	*	X0111	84320	180257352	180472022	214671	-	0	inside	240	ACBD6
chr1	180472106	180472115	10	*	X0112	84320	180257352	180472022	214671	-	83	upstream	83	ACBD6
chr1	180991939	180991948	10	*	X0113	10228	180942176	180992046	49871	-	0	inside	97	STX6
chr1	181057895	181057903	9	*	X0114	51278	181057638	181059979	2342	+	0	inside	256	IER5
chr1	183442043	183442054	12	*	X0116	284649	183430011	183441117	11107	-	925	upstream	925	SMG7-AS1
chr1	184020823	184020831	9	*	X0117	116461	184020811	184043344	22534	+	0	inside	11	TSEN15
chr1	184355886	184355886	1	*	X0118	81563	184356150	184598155	242006	+	263	upstream	263	C1orf21
chr1	184355904	184355918	15	*	X0119	81563	184356150	184598155	242006	+	231	upstream	231	C1orf21
chr1	184355925	184355954	30	*	X0120	81563	184356150	184598155	242006	+	195	upstream	195	C1orf21
chr1	186344386	186344395	10	*	X0121	54953	186344890	186390503	45614	+	494	upstream	494	ODR4
chr1	193090913	193090924	12	*	X0122	79577	193091088	193223942	132855	+	163	upstream	163	CDC73
chr1	197170594	197170605	12	*	X0123	23418	197170592	197447585	276994	+	0	inside	1	CRB1
chr1	197170594	197170605	12	*	X0123	360023	197122814	197169672	46859	-	921	upstream	921	ZBTB41
chr1	207494235	207494268	34	*	X0127	1604	207494817	207534311	39495	+	548	upstream	548	CD55
chr1	207494271	207494283	13	*	X0128	1604	207494817	207534311	39495	+	533	upstream	533	CD55
chr1	209848502	209848511	10	*	X0129	50486	209848670	209849735	1066	+	158	upstream	158	G0S2
chr1	211556130	211556143	14	*	X0130	84791	211556097	211605877	49781	+	0	inside	32	LINC00467
chr1	212458871	212458882	12	*	X0131	5525	212458879	212535205	76327	+	0	overlapStart	0	PPP2R5A
chr1	214454276	214454284	9	*	X0132	56950	214454565	214510477	55913	+	280	upstream	280	SMYD2
